"id","group","expLabels","condition","order","set","gender","age","race","engNative","ole","parentEd","trial_type","trial_index","image1","image2","sound1","sound2","sound","correct","selected_image","response_location","accuracy","firstPres","secondPres","thirdPres"
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",1,"picture1.jpg","picture6.jpg","word6.aiff","word1.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",2,"picture2.jpg","picture5.jpg","word2.aiff","word5.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",3,"picture3.jpg","picture7.jpg","word7.aiff","word3.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",4,"picture4.jpg","picture8.jpg","word4.aiff","word8.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",5,"picture7.jpg","picture2.jpg","word7.aiff","word2.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",6,"picture8.jpg","picture1.jpg","word8.aiff","word1.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",7,"picture6.jpg","picture3.jpg","word6.aiff","word3.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",8,"picture4.jpg","picture5.jpg","word5.aiff","word4.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",9,"picture2.jpg","picture6.jpg","word2.aiff","word6.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",10,"picture5.jpg","picture1.jpg","word1.aiff","word5.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",11,"picture3.jpg","picture8.jpg","word3.aiff","word8.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","training",12,"picture7.jpg","picture4.jpg","word4.aiff","word7.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",1,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture8.jpg","right",0,1,6,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",2,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",3,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture4.jpg","right",1,4,8,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",4,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",5,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","right",1,2,5,9
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",6,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture1.jpg","right",0,2,8,10
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",7,"picture8.jpg","picture4.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,4,6,11
"p601","kids","Exp1","Unstructured",1,2,"F",6,"White",NA,"no","phd","test",8,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,1,7,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",1,"picture2.jpg","picture8.jpg","word2.aiff","word8.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",2,"picture4.jpg","picture5.jpg","word5.aiff","word4.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",3,"picture1.jpg","picture7.jpg","word1.aiff","word7.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",4,"picture6.jpg","picture3.jpg","word3.aiff","word6.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",5,"picture7.jpg","picture2.jpg","word7.aiff","word2.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",6,"picture5.jpg","picture3.jpg","word3.aiff","word5.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",7,"picture6.jpg","picture1.jpg","word6.aiff","word1.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",8,"picture4.jpg","picture8.jpg","word8.aiff","word4.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",9,"picture6.jpg","picture7.jpg","word6.aiff","word7.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",10,"picture5.jpg","picture2.jpg","word2.aiff","word5.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",11,"picture4.jpg","picture3.jpg","word3.aiff","word4.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","training",12,"picture1.jpg","picture8.jpg","word8.aiff","word1.aiff",NA,NA,NA,NA,NA,NA,NA,NA
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",1,"picture2.jpg","picture5.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","left",1,1,5,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",2,"picture6.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,9
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",3,"picture5.jpg","picture3.jpg",NA,NA,"word5.aiff","picture5.jpg","picture3.jpg","right",0,2,6,10
"p602","kids","Exp1","Unstructured",2,2,"F",4.369863014,"White",NA,"no","bachelors","test",4,"picture8.jpg","picture2.jpg",NA,NA,"word8.aiff","picture8.jpg","picture8.jpg","left",1,1,8,12
